"Name","rating","review"
"Bijal Visawadia","4","Being an avid reader, the book was on my wishlist since couple of years. Ordered it to unfold the wisdom writer profeses. 😍
↪The entire book is just about those small changes that we can apply to our lives to bring that happiness that we always longed to bring or see.
↪ Collection of these thoughts what makes this book as an unique and inspiring. You may wonder while reading this book, why didn't I realize these trivial things all these days ?
↪This book is just about realizing what makes us more happy😊 and less resentful.
↪I recommend this book to be read by everyone. Though it may not bring overnight changes to your life, but, surely, it evokes some questions that every readers can questions themselves.
↪The only 💔disappointment would be, this is more like a life manual & less of a novel."
"MSN","5",""
"gurbrinder","5","After reading this book I regret why didn't I get it earlier....so inspirational book....It is so simple and concise that I have become the fan of the writer...there are 101 chapters in the book each one is better than the other...I felt while reading the book as if writer was talking to me telling me to change my life for the better.....the chapters are not only to read but to implement in your life....it will surely change your life....go get it...."
"Dimpy","5","""I wept because I had no shoes until I saw a man who had no feet.""
""Too many people lead small life, we die in our twenties and are buried at eighty. Remember nothing can stop a person who refuses to be stopped. Most people don't really fail; they simply give up trying""

I am not a fan of self-help books. But, this one made me to read more of such books. All thanks to Robin Sharma. It didn't really transform my life overnight, rather, it did allowed me to sit and introspect a bit on what I might be missing in life. Even the title of is enough to think what are you actually doing with your life.

Author has covered every little detail of our daily routine. How can a small change in these little things can bring enormous happiness in our lives. From this book, you will learn an art of living and an art of dying as well."
"shan","4","""When you were born, you cried while the world rejoiced. Live your life such a way that when you die the world cries and you rejoice"". This is the crux of the book written by the author of the bestseller ‘The Monk who sold his Ferrari’ who tells one how to lead a prosperous life in a simple, direct and easy-to-read way.The author, though very young, has been able to summon some really good and inspiring unknown as well as known but not practised advice. He guides the readers through his more than a hundred soul-stirring advices focusing on the most basic ones too like getting up early and avoid getting angry which we so easily ignore in the books as well as in our daily lives. Reading them all and practising them is a life-long pursuit and will require strong determination on one’s goal of self-improvement. The book is all about living life more joyfully, meaningfully and completely.The more no. of times one reads it, the more new meaning emerges of it enlightening one’s soul. The book is like a guide to be opened up and read randomly whenever one is feeling that they are not living up to their full potential as the advice would surely give one a new way of approaching life."
"Nishad Javed","5","Title: who will cry when you die
Author: Robin Sharma
Genre: Self-help
Publisher: Jaico
My Rating: 5 star
Total pages: 225
Total chapters: 101⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

My Reviews: This was my 1st Self help book I read. Its title attracted me to buy this book.

Why should you buy this book?
1) Each chapter is very small 1-3 page
2) Each chapter provides deeper understanding of life.
3) Written in very simple english
4) Anti-boring book
5) Small size, easy to handle
6) This book contains different types of inspirational quotes
7) It prescribes other similar self help books.

This book gives life lessons from a very famous book ""The monk who sold his Ferrari"" which was written by the same author. Each and every lesson of this book is related to the monk who sold his Ferrari to understand this book even more deeply go through the ""The monk who sold his Ferrari"". You can read whatever book you 1st like to read both those books are related, does not matter which book you 1st choose."
"Krishnendu Das","4","So finally I have completed this book with a full of greatness guides by -@robinsharma Sir. After his  no.1 bestselling ""The Monk Who Sold his Ferrari"" This book contains a series of life lessons from the book mentioned above  to manifest the potential lying most of us within to die vigorously in the world leaving others crying while you are smiling till last breath. I am recommending to all of the aspirants who are willing to change thier lifestyle widely after a full inspiration from a certain sources. Go for it & Chill! Otherwise the years have quietly slipped by and the years will turn into age  and when we'll have to leave the world then we have to wet our face with a burst of tears saying that -""Wish I have an another day in my life"".Robin Sir vividly described the reality of death on a sentence""When you were born you cried while the world rejoiced. Live your life in such a way that when you die,The world cries while you rejoice""🙏🏻💘🔥."
"Sonia","4","Very nice..awesome book..while reading you don't need to worry about the start or finish of a chapter or book. You open any page ..read any paragraph or lines and you will realise thats making sense and great meaning. Liked it a lot !!"
"Arushi Seth","5","One of the best self-help and self-motivating book I cane across.
All the words are so beautifully written in simple language that it easily makes an impact on your mind.
The best thing is you don't need to read in series just pick any one chapter and you are good to go.
Ever since I have read this book my perception of thinking has changed and I have turned even into a more better person.
A great work by Robin Sharma.
Looking forward to read more of his work."
"sukendu kumar","5","It has 101 lessons to transfer your life from stumbling blocks into stepping stones..Must read book for everyone..Blindly go for it !!"
