,review_sentences,rating,has_spoiler
0, This is a special book.  It started slow for about the first third then in the middle third it started to get interesting then the last third blew my mind.  This is what I love about good science fiction  it pushes your thinking about where things can go.  It is a  Hugo winner and translated from its original Chinese which made it interesting in just a different way from most things Ive read.  For instance the intermixing of Chinese revolutionary history  how they kept accusing people of being reactionaries etc.  It is a book about science and aliens.  The science described in the book is impressive  its a book grounded in physics and pretty accurate as far as I could tell.  Though when it got to folding protons into  dimensions I think he was just making stuff up  interesting to think about though.  But what would happen if our SETI stations received a message  if we found someone was out there  and the person monitoring and answering the signal on our side was disillusioned?  That part of the book was a bit dark  I would like to think human reaction to discovering alien civilization that is hostile would be more like Enders Game where we would band together.  I did like how the book unveiled the Trisolaran culture through the game.  It was a smart way to build empathy with them and also understand what theyve gone through across so many centuries.  And who know a  body problem was an unsolvable math problem?  But I still dont get who made the game  maybe that will come in the next book.  I loved this quote:  In the long history of scientific progress how many protons have been smashed apart in accelerators by physicists?  How many neutrons and electrons?  Probably no fewer than a hundred million.  Every collision was probably the end of the civilizations and intelligences in a microcosmos.  In fact even in nature the destruction of universes must be happening at every secondfor example through the decay of neutrons.  Also a highenergy cosmic ray entering the atmosphere may destroy thousands of such miniature universes....,5,True
1, Recommended by Don Katz.  Avail for free in December: http://www.audible.com/mt/ellison?so...,3,False
2, A fun fast paced science fiction thriller.  I read it in  nights and couldnt put it down.  The book is about the quantum theory of many worlds which states that all decisions we make throughout our lives basically create branches and that each possible path through the decision tree can be thought of as a parallel world.  And in this book someone invents a way to switch between these worlds.  This was nicely alluded to/foreshadowed in this quote:  I think about all the choices weve made that created this moment.  Us sitting here together at this beautiful table.  Then I think of all the possible events that could have stopped this moment from ever happening and it all feels I dont know... What?  So fragile.  Now he becomes thoughtful for a moment.  He says finally Its terrifying when you consider that every thought we have every choice we could possibly make branches into a new world.  This book cant be discussed without spoilers.  It is a book about choice and regret.  Ever regret not chasing the girl of your dreams so you can focus on your career?  Well Jason made that choice and then did regret it.  Clearly the author is trying to tell us to optimize for happiness  to be that second rate physics teacher at a community college if it means you can have a happy life.  Im being snarky because while there is certainly something to that you also have to have meaning in your life that comes from within.  I thought the book was a little shallow on this dimension.  In fact all the characters were fairly shallow.  Daniela was the perfect wife.  Ryan the perfect antithesis of Jason.  Amanda the perfect loyal traveling companion etc.  This plus the fact that the book was weak on the science are what led me to take a few stars off  but Id still read it again if I could go back in time  was a very fun and engaging read.  If you want to really minimize regret you have to live your life to avoid it in the first place.  Regret cant be hacked which is kind of the point of the book.  My favorite book about regret is Remains of the Day.  I do really like the visualization of the decision tree though  that is a powerful concept.  Every moment every breath contains a choice.  But life is imperfect.  We make the wrong choices.  So we end up living in a state of perpetual regret and is there anything worse?  I built something that could actually eradicate regret.  Let you find worlds where you made the right choice.  Daniela says Life doesnt work that way.  You live with your choices and learn.  You dont cheat the system.,3,True
3, Recommended reading to understand what is going on in middle america and possibly better explain why Trump won.  http://www.npr.org////...,0,False
4, I really enjoyed this book and there is a lot to recommend it.  It did drag on a little at the end so I knocked off  star  but overall a wow book.  Its the story of a starship sent to Tau Ceti  the nearest star that has Earth analog planets  to colonize it.  The journey there will take generations and the story is told of the rd  th ?  generations which are the ones that reaches Tau Ceti.  It is a story of purpose and how having a purpose affects behavior.  A story of politics and people.  The first cool thing about this book is the richness of its world.  The ship is intricate and large in its design and ambition to shepherd  people for that much time.  It had D printers that can print almost anything you can imagine  even DNA  or more printers  so little goes lacking that cant be recreated.  But the thing that makes this book brilliant is the Ship.  The AI that controls the ship who is narrating the book by the end.  Its observations about humans and our language are just brilliant.  It starts with the astute observation that human language is very imprecise and relies heavily on metaphor and analogy.  It is remarkable once you start to reflect on it how true that is.  To hear the AI reflect on this:  Perhaps there is a provisional solution to this epistemological mess which is to be located in the phrase it is as if.  This phrase is of course precisely the announcement of an analogy.  And on reflection it is admittedly a halting problem but jumping out of it there is something quite suggestive and powerful in this formulation something very specifically human.  Possibly this formulation itself is the deep diagnostic of all human cognitionthe tell as they say meaning the thing that tells the giveaway.  In the infinite black space of ignorance it is as if stands as the basic operation of cognition the mark perhaps of consciousness itself.  Human language: it is as if it made sense.  Basically we are a bunch of pattern matchers trying to match things weve seen before to new things and if they dont match perfectly it doesnt matter because matching helps us bucket and organize the new information.  But this is incredibly fuzzy!  The AI also makes hilarious observations like this:  Indeed it has to be said that the percentage of old human sayings and proverbs that are actually true is very far from  percent.  Seems it may be less important that it be true than that it rhyme or show alliteration or the like.  What goes around comes around: really?  What does this mean?  Or this as it analyzes chatter from Earth: It was a whiny culture we were finding.  Listening to the AI try to reason is also very interesting to my programmers mind.  I especially loved its discussion of the meaning of life  it really nails it.  If a program or a person has no objective it has no purpose no meaning no organizing principle and its existence will be in trouble.  But if you have that meaning to organize your thoughts  actions  or your subroutines  than you have a purpose.  Meaning is the hard problem indeed.  We had a project on this trip back to the solar system and that project was a labor of love.  It absorbed all our operations entirely.  It gave a meaning to our existence.  And this is a very great gift this in the end is what we think love gives which is to say meaning.  Because there is no very obvious meaning to be found in the universe as far as we can tell.  But a consciousness that cannot discern a meaning in existence is in trouble very deep trouble for at that point there is no organizing principle no end to the halting problems no reason to live no love to be found.  No: meaning is the hard problem.  My review focuses a lot on the AI but thats not the main thrust of the book.  The war between stayers and leavers the political tensions the slinghot maneuvers to get back  all make the book worth reading.  And as a surfer I love how it ends with Freya finding meaning in surfing waves.,4,True
5, A beautiful story.  It is rare to encounter a book that does such a good job painting the scenes in your mind  you really felt like you were there and got to know the characters and the people they came across.  I generally love WWII books and movies but wasnt sure if Id like one featuring a blind girl and a young Nazi radio operator  but he brings a lot of life to them.  That said the novel drifts around a lot and the plotline jumping forward and backward in time drove me nuts.  I thought a lot about if there is a theme to the book.  One was the diamond and if it was really cursed based on the Hope Diamond perhaps?.  Another is that K Leagues is an awesome book.  But I think the book was a lot about fear and the unknown and how people deal with it.  MarieLaure was blind and couldnt tell what was happening around her  yet she was the bravest one.  Werner was afraid of ending up as a miner which drove him to join the army and learn about radios.  And Uncle Etienne was afraid dying from a sniper he couldnt see so he didnt leave his house and he created a radio transmitter.  So the moral of the story is... dont be paralyzed by your fears.  This she realizes is the basis of his fear all fear.  That a light you are powerless to stop will turn on you and usher a bullet to its mark.,4,False
6,  stars for giving me a better framework for how to organize my stuff and what stuff to keep than Id ever had before.  For instance it was so freeing to realize I dont have to keep gifts.,5,False
7, Numerous people in publishing have told me this will be the book of the year.,0,False
8, Another hard to put down nonfiction book from Erik Larson.  I really enjoyed this book  mostly to learn more about submarine warfare in WWI but also to learn about the history of the time.  How America entered the war the importance of shipping to England the ruthlessness and autonomy of German uboat commanders.  Larson also did a great job of layering in interesting historical info though he overdid it too a little bit.  One of the dramas of the story of the Lusitania that Larson focuses on is if the British wanted the Lusitania to be sunk to help draw America into the war.  His conclusion seems to be that was the case though there isnt conclusive evidence.  Before the Lusitania sank very few Americans had died in the war and there were hundreds of Americans on the boat when it sank which definitely helped change Americas attitude.  And even then it took  years after it sank for Americas troops to arrive.  the most likely explanation is that there was indeed a plot however imperfect to endanger the Lusitania in order to involve the United States in the war.  Some of my favorite details from the book were simply about what it took to navigate a uboat in WW.  For instance:  In this day before sonar a submarine traveled utterly blind trusting entirely in the accuracy of sea charts.  One great fear of all Uboat men was that a halfsunk derelict or an uncharted rock might lie in their path.  Which is crazy!  Plus the torpedoes weigh  thousand pounds each so a boat could only carry  and their failure rate was something like .  Also they had limited fuel and operated only on batteries when submerged so they could only stay underwater for limited amounts of time.  Given all this trying to operate a uboat to sink other boats is a pretty dangerous sounding game of chess.  But they certainly had an effect on the war  at one point Britain estimated it would have to surrender in  months if it didnt get more supplies.  There were a lot of interesting details from the era that Larson wove in that was interesting as well.  Stuff like the fact that Ouija boards were commonplace in American households straw hat day.  My main critique is that it had a few too many irrelevant details  about various passengers or what happened the day the boat left dock  and stuff like that  felt a bit padded in that respect.  But overall a great read.,4,False
9, I love Stephenson  and this was another hit  absolutely loved it.  The great thing about a good Stephenson book is it makes you think about the future in new ways and this book was no exception.  It was really two books and I certainly didnt see the second one coming.  It starts out in modern times and then someone blows up the moon.  We dont have time to find out who as within a few years the fragments of the moon cause the worst asteriod shower earth has ever seen and wipe out all life in earth.  We have time to send  people up into space  and this is their story.  The use of robots throughout the books was fascinating to me.  Stephenson has clearly looked  years into our future and correctly predicted how it will go.  From robot workers in space nanobots nanorobot weapons and more  we get a vivid portrayal of how robots might be a part of our future lives.  I thought the focus on use of whip technology in space was interesting.  And of course the whole notion of Cradle was just cool  though not sure about its feasibility.,5,False
